k,ruta,paso,sim
35,REM,6,-0.36828145384788513
35,SWS,0,0.9999998807907104
35,SWS,1,0.6873728632926941
35,SWS,2,0.39159539341926575
35,SWS,3,0.14036816358566284
35,SWS,4,0.17393620312213898
35,SWS,5,-0.04108662158250809
35,SWS,6,-0.14836610853672028
36,REM,0,1.0000001192092896
36,REM,1,0.7251853942871094
36,REM,2,0.39288511872291565
36,REM,3,0.14708679914474487
36,REM,4,0.14777183532714844
36,REM,5,-0.043360672891139984
36,REM,6,0.09508885443210602
36,SWS,0,1.0000001192092896
36,SWS,1,0.6938900351524353
36,SWS,2,0.45490044355392456
36,SWS,3,0.22340989112854004
36,SWS,4,0.17672626674175262
36,SWS,5,0.23236902058124542
36,SWS,6,0.10386412590742111
37,REM,0,1.0
37,REM,1,0.6990664005279541
37,REM,2,0.4408055245876312
37,REM,3,0.22730126976966858
37,REM,4,0.3217548727989197
37,REM,5,0.2429191768169403
37,REM,6,0.21511727571487427
37,SWS,0,1.0
37,SWS,1,0.6946011781692505
37,SWS,2,0.3143526613712311
37,SWS,3,0.09460442513227463
37,SWS,4,-0.06845363974571228
37,SWS,5,0.07135914266109467
37,SWS,6,-0.04350319504737854
38,REM,0,1.0
38,REM,1,0.7214441895484924
38,REM,2,0.42113274335861206
38,REM,3,0.22946153581142426
38,REM,4,0.31489142775535583
38,REM,5,0.11514761298894882
38,REM,6,0.23325107991695404
38,SWS,0,1.0
38,SWS,1,0.7049650549888611
38,SWS,2,0.41962435841560364
38,SWS,3,0.18811999261379242
38,SWS,4,0.07346656918525696
38,SWS,5,0.21304598450660706
38,SWS,6,0.10388623178005219
39,REM,0,0.9999998807907104
39,REM,1,0.6652106642723083
39,REM,2,0.36762815713882446
39,REM,3,0.13502806425094604
39,REM,4,0.31355565786361694
39,REM,5,0.05542242154479027
39,REM,6,0.1458321213722229
39,SWS,0,0.9999998807907104
39,SWS,1,0.6743939518928528
39,SWS,2,0.3660050332546234
39,SWS,3,0.04086162522435188
39,SWS,4,0.027663614600896835
39,SWS,5,0.13188256323337555
39,SWS,6,0.22734434902668
40,REM,0,1.0
40,REM,1,0.674317479133606
40,REM,2,0.45852580666542053
40,REM,3,0.2538061738014221
40,REM,4,-0.152885302901268
40,REM,5,0.011897141113877296
40,REM,6,0.0772920474410057
40,SWS,0,1.0
40,SWS,1,0.6381202340126038
40,SWS,2,0.4237792193889618
40,SWS,3,0.24926501512527466
40,SWS,4,-0.05815555155277252
40,SWS,5,-0.10569935292005539
40,SWS,6,-0.13252580165863037
41,REM,0,1.0
41,REM,1,0.7167311310768127
41,REM,2,0.3786301016807556
41,REM,3,0.12205862253904343
41,REM,4,0.20159706473350525
41,REM,5,0.2063029706478119
41,REM,6,0.26066726446151733
41,SWS,0,1.0
41,SWS,1,0.7017418742179871
41,SWS,2,0.4379536807537079
41,SWS,3,0.15289686620235443
41,SWS,4,0.12837505340576172
41,SWS,5,-0.03366254270076752
41,SWS,6,-0.015040252357721329
42,REM,0,1.0
42,REM,1,0.6967788934707642
42,REM,2,0.4851031005382538
42,REM,3,0.284257709980011
42,REM,4,0.27240899205207825
42,REM,5,0.060099899768829346
42,REM,6,0.04285357892513275
42,SWS,0,1.0
42,SWS,1,0.7152527570724487
42,SWS,2,0.3949308395385742
42,SWS,3,0.2794423997402191
42,SWS,4,0.19515834748744965
42,SWS,5,-0.01305417064577341
42,SWS,6,-0.0013503929367288947
43,REM,0,1.0
43,REM,1,0.7416883707046509
43,REM,2,0.4171195328235626
43,REM,3,0.18320626020431519
43,REM,4,0.19205331802368164
43,REM,5,0.23912227153778076
43,REM,6,0.18256396055221558
43,SWS,0,1.0
43,SWS,1,0.7313814163208008
43,SWS,2,0.28899964690208435
43,SWS,3,0.004635665100067854
43,SWS,4,-0.1423248052597046
43,SWS,5,-0.13729046285152435
43,SWS,6,-0.06184668466448784
44,REM,0,1.0
44,REM,1,0.7250203490257263
44,REM,2,0.4077329933643341
44,REM,3,0.23968656361103058
44,REM,4,0.1684192419052124
44,REM,5,0.1755594164133072
44,REM,6,0.2386627197265625
44,SWS,0,1.0
44,SWS,1,0.6636483669281006
44,SWS,2,0.4000861644744873
44,SWS,3,-0.03553541377186775
44,SWS,4,-0.004523026756942272
44,SWS,5,-0.0018178103491663933
44,SWS,6,0.22849078476428986
45,REM,0,1.0
45,REM,1,0.7035481929779053
45,REM,2,0.46150147914886475
45,REM,3,0.06534969806671143
45,REM,4,0.12151890248060226
45,REM,5,-0.05862712487578392
45,REM,6,-0.18514658510684967
45,SWS,0,1.0
45,SWS,1,0.7454129457473755
45,SWS,2,0.4835534393787384
45,SWS,3,0.05111917853355408
45,SWS,4,0.09635327756404877
45,SWS,5,0.1647345870733261
45,SWS,6,0.16511820256710052
46,REM,0,1.0
46,REM,1,0.7114750146865845
