k,ruta,t_offset,media
12,REM,-6,0.2129657025284627
12,REM,-5,0.21335965355237324
12,REM,-4,0.21359010138793996
12,REM,-3,0.21343836385801615
12,REM,-2,0.21261164346306594
12,REM,-1,0.2119296363421849
12,REM,0,0.21029932643560803
12,SWS,-15,0.19104211979380278
12,SWS,-14,0.19320240705950648
12,SWS,-13,0.19269207292351842
12,SWS,-12,0.19337653904221952
12,SWS,-11,0.1936915929334751
12,SWS,-10,0.1941961748919017
12,SWS,-9,0.19383955653140086
12,SWS,-8,0.19458671274838174
12,SWS,-7,0.196968173072941
12,SWS,-6,0.19981133674874024
12,SWS,-5,0.2015661059030846
12,SWS,-4,0.203805748982863
12,SWS,-3,0.20579608420773252
12,SWS,-2,0.20896630366923105
12,SWS,-1,0.21372641751110383
12,SWS,0,0.22149038853341793
13,REM,-15,0.20433748206671545
13,REM,-14,0.2048484878880637
13,REM,-13,0.20491980660606074
13,REM,-12,0.20421934441516273
13,REM,-11,0.20459043166854166
13,REM,-10,0.20386466513509335
13,REM,-9,0.20443527455683108
13,REM,-8,0.20292701731835092
13,REM,-7,0.2039421411260726
13,REM,-6,0.203058249591028
13,REM,-5,0.2033805247147878
13,REM,-4,0.20284410193562508
13,REM,-3,0.20252284066504742
13,REM,-2,0.20196349903480293
13,REM,-1,0.20321031327226333
13,REM,0,0.20361964820938952
13,SWS,-15,0.20387130279407323
13,SWS,-14,0.20551919733357227
13,SWS,-13,0.2056330802026859
13,SWS,-12,0.20570774166844785
13,SWS,-11,0.2055669341614281
13,SWS,-10,0.20575521141290665
13,SWS,-9,0.20544240806276434
13,SWS,-8,0.20582348136765183
13,SWS,-7,0.20749466763488178
13,SWS,-6,0.2095824034615634
13,SWS,-5,0.2108771302065446
13,SWS,-4,0.21247192546725274
13,SWS,-3,0.21405527110749145
13,SWS,-2,0.2163007223165371
13,SWS,-1,0.21963195686353995
13,SWS,0,0.22449310754236498
14,REM,-15,0.21052993921672597
14,REM,-14,0.21043178055967604
14,REM,-13,0.20991256591436025
14,REM,-12,0.20953267891156047
14,REM,-11,0.20888659019361844
14,REM,-10,0.2094460842402085
14,REM,-9,0.2082491064513171
14,REM,-8,0.20794556183474405
14,REM,-7,0.2090762463353929
14,REM,-6,0.2087377353626139
14,REM,-5,0.20845753987630208
14,REM,-4,0.20899933635404236
14,REM,-3,0.20930018392672023
14,REM,-2,0.20914725068303727
14,REM,-1,0.2085670115692275
14,REM,0,0.2083425301620189
14,SWS,-15,0.20224992151015272
14,SWS,-14,0.20393736354815653
14,SWS,-13,0.20332770948567666
14,SWS,-12,0.2039487201254815
14,SWS,-11,0.20382278552953748
14,SWS,-10,0.20436750835096332
14,SWS,-9,0.20402186921495474
14,SWS,-8,0.20422447487047524
14,SWS,-7,0.20585887819186025
14,SWS,-6,0.20736389611175354
14,SWS,-5,0.20843031290751785
14,SWS,-4,0.2095434542406689
14,SWS,-3,0.2109405201503901
14,SWS,-2,0.2128483414859839
14,SWS,-1,0.21582845250480837
14,SWS,0,0.22053853084296907
15,REM,-15,0.21095681365798502
15,REM,-14,0.2116949268749782
15,REM,-13,0.2106807417160756
15,REM,-12,0.2111289959989096
15,REM,-11,0.20973861556161533
15,REM,-10,0.21120330723731415
15,REM,-9,0.20747202193295514
15,REM,-8,0.2085522466472217
15,REM,-7,0.20806390851263015
15,REM,-6,0.20912813504829125
15,REM,-5,0.20785693287849427
15,REM,-4,0.2091155809007193
15,REM,-3,0.20896042847489738
15,REM,-2,0.2095887846860689
15,REM,-1,0.20877105968871287
15,REM,0,0.2091699253548594
15,SWS,-15,0.20105669919018435
15,SWS,-14,0.20377036929130554
15,SWS,-13,0.20310955463854735
15,SWS,-12,0.20424091105815023
15,SWS,-11,0.20471566170454025
15,SWS,-10,0.20434022191124904
15,SWS,-9,0.2039260830705529
15,SWS,-8,0.2045533304001875
15,SWS,-7,0.2067154841176395
15,SWS,-6,0.21019937360987945
15,SWS,-5,0.2127835296131485
15,SWS,-4,0.2156619707969102
15,SWS,-3,0.21850983447175684
15,SWS,-2,0.2226057477610212
15,SWS,-1,0.22769885832566586
15,SWS,0,0.23692336326629473
16,REM,-15,0.20340021042262807
16,REM,-14,0.20293939411640166
16,REM,-13,0.20306511424683235
16,REM,-12,0.20263707049583135
16,REM,-11,0.2037220996889201
16,REM,-10,0.2040854015428087
16,REM,-9,0.20373583888566052
16,REM,-8,0.20378622998084342
16,REM,-7,0.20352057308431656
16,REM,-6,0.20330383913481936
16,REM,-5,0.2027672376235326
16,REM,-4,0.2027682530644693
16,REM,-3,0.2025821858859924
16,REM,-2,0.20273319593409903
16,REM,-1,0.20307237787970475
16,REM,0,0.20358465721502023
16,SWS,-15,0.19458510733653453
16,SWS,-14,0.19565773430543068
16,SWS,-13,0.19546164646128977
16,SWS,-12,0.1963764694519341
16,SWS,-11,0.1959837908330171
16,SWS,-10,0.19659186437935897
16,SWS,-9,0.19615760820590897
16,SWS,-8,0.19633958104309762
16,SWS,-7,0.19824867019023018
16,SWS,-6,0.1989566481368427
16,SWS,-5,0.20024242967515443
16,SWS,-4,0.2005241429263895
16,SWS,-3,0.2013646041959282
16,SWS,-2,0.20294312235545103
16,SWS,-1,0.2053601344711118
16,SWS,0,0.2083644621242488
17,REM,-15,0.20895953213467316
17,REM,-14,0.20930174376283373
17,REM,-13,0.20867640746606364
17,REM,-12,0.20987845918065623
17,REM,-11,0.20966348627751524
17,REM,-10,0.21008921382219894
17,REM,-9,0.20885780260518746
17,REM,-8,0.20954585713999613
17,REM,-7,0.2086615420523144
17,REM,-6,0.2091161084963995
17,REM,-5,0.2086886074145635
17,REM,-4,0.2092566027453071
17,REM,-3,0.20858487953622656
17,REM,-2,0.20863046443339475
17,REM,-1,0.2084185513002532
17,REM,0,0.2085894517162267
17,SWS,-15,0.19226038247068353
17,SWS,-14,0.19406311939924192
17,SWS,-13,0.19372579332225578
17,SWS,-12,0.19402476132381707
17,SWS,-11,0.19449672124524048
17,SWS,-10,0.19412614331698755
17,SWS,-9,0.19375658943163637
17,SWS,-8,0.19395484258035187
17,SWS,-7,0.19548128819328614
17,SWS,-6,0.19751773017613009
17,SWS,-5,0.1984092680672508
17,SWS,-4,0.20031122870065948
17,SWS,-3,0.2019283872673182
17,SWS,-2,0.2044460530537115
17,SWS,-1,0.20812869968591924
17,SWS,0,0.2142126316652161
18,REM,-15,0.2079183577614672
18,REM,-14,0.20833321682044437
18,REM,-13,0.2071851129467423
18,REM,-12,0.20732519461920387
18,REM,-11,0.20765807953747836
18,REM,-10,0.2076689675450325
18,REM,-9,0.20804471605353886
18,REM,-8,0.2067480462470225
18,REM,-7,0.20879512433967892
18,REM,-6,0.20748869526912184
18,REM,-5,0.208458092212677
18,REM,-4,0.20808733274277888
18,REM,-3,0.20844574541930694
18,REM,-2,0.2080508608793475
18,REM,-1,0.209084830646004
18,REM,0,0.20780258428524523
18,SWS,-15,0.17291316961016612
18,SWS,-14,0.17639694585759416
18,SWS,-13,0.17605899902414684
18,SWS,-12,0.1773447737796232
18,SWS,-11,0.1782184107148129
18,SWS,-10,0.17843319391700582
18,SWS,-9,0.17809798376054953
18,SWS,-8,0.17780764192152934
18,SWS,-7,0.1801707561331234
18,SWS,-6,0.18296141484204462
18,SWS,-5,0.18540760689410404
18,SWS,-4,0.18810334293679756
18,SWS,-3,0.1917031982807609
18,SWS,-2,0.19589080184068478
18,SWS,-1,0.20257837566571113
18,SWS,0,0.2123895319641493
19,REM,-15,0.2025596254012164
19,REM,-14,0.20342883552823748
19,REM,-13,0.20261754296921394
19,REM,-12,0.20280252946050545
19,REM,-11,0.20351170748472214
19,REM,-10,0.20447392988464105
19,REM,-9,0.20269752542177835
19,REM,-8,0.2032915252660002
19,REM,-7,0.20335885480282798
19,REM,-6,0.20380772036664627
19,REM,-5,0.20357796132564546
19,REM,-4,0.20439202240423152
19,REM,-3,0.20458653784659972
19,REM,-2,0.2048522485900171
